latitude,longitude,measured_on,number of days reported,precipitation monthlies
34.1248,-117.7493,01-03-2020,31,123.7
34.1248,-117.7493,01-04-2020,30,126.6
34.1248,-117.7493,01-05-2020,31,4.6
34.1248,-117.7493,01-07-2020,31,0
34.1248,-117.7493,01-08-2020,31,0
34.2431,-77.5494,01-03-2002,31,135.6
34.2431,-77.5494,01-04-2002,30,36
34.2431,-77.5494,01-08-2002,31,203.4
34.2431,-77.5494,01-09-2002,30,106.5
34.2431,-77.5494,01-10-2002,31,57.8
35.8022,-78.7278,01-12-2016,31,14.5
35.8022,-78.7278,01-05-2017,31,71
35.8022,-78.7278,01-06-2017,30,122
35.8022,-78.7278,01-09-2017,30,69.4
35.8022,-78.7278,01-10-2017,31,88.4
35.8022,-78.7278,01-11-2017,30,18.5
35.8022,-78.7278,01-12-2017,31,39.8
35.8022,-78.7278,01-04-2018,30,69
35.8022,-78.7278,01-05-2018,31,88.2
35.8022,-78.7278,01-07-2018,31,109
35.8022,-78.7278,01-08-2018,31,159.3
35.8022,-78.7278,01-09-2018,30,162.3
35.8022,-78.7278,01-10-2018,31,91.3
35.8022,-78.7278,01-11-2018,30,121.1
35.8022,-78.7278,01-12-2018,31,86.9
35.8022,-78.7278,01-05-2019,31,30.4
35.8022,-78.7278,01-09-2019,30,2.1
35.8022,-78.7278,01-10-2019,31,1.5
35.8022,-78.7278,01-11-2019,30,42.9
35.8022,-78.7278,01-12-2019,31,56.6
35.8022,-78.7278,01-01-2020,31,52.7
35.8022,-78.7278,01-02-2020,29,62.2
35.8022,-78.7278,01-04-2020,30,50.3
35.8022,-78.7278,01-05-2020,31,39.6
35.8022,-78.7278,01-06-2020,30,24.9
45.8833,-104.55,01-01-2000,31,0.1
45.8833,-104.55,01-02-2000,29,0
45.8833,-104.55,01-03-2000,31,0
45.8833,-104.55,01-04-2000,30,33.6
45.8833,-104.55,01-10-2000,31,0
45.8833,-104.55,01-12-2000,31,0
45.8833,-104.55,01-02-2001,28,0
45.8833,-104.55,01-03-2001,31,0
45.8833,-104.55,01-04-2001,30,0.4
38.2443,-122.5983,01-02-2004,29,122
38.2443,-122.5983,01-03-2004,31,13.4
38.2443,-122.5983,01-05-2004,31,1.8
38.2443,-122.5983,01-06-2004,30,0.5
38.2443,-122.5983,01-11-2004,30,41
38.2443,-122.5983,01-01-2005,31,92.7
38.2443,-122.5983,01-02-2005,28,78.9
38.2443,-122.5983,01-03-2005,31,72.3
38.2443,-122.5983,01-05-2005,31,69.8
38.2443,-122.5983,01-06-2005,30,17.9
38.2443,-122.5983,01-07-2006,31,0
38.2443,-122.5983,01-08-2006,31,0
38.2443,-122.5983,01-09-2006,30,0
38.2443,-122.5983,01-11-2006,30,57.9
38.2443,-122.5983,01-12-2006,31,86.6
38.2443,-122.5983,01-01-2007,31,13.1
38.2443,-122.5983,01-02-2007,28,102.9
38.2443,-122.5983,01-03-2007,31,6.3
33.00678,-86.20202,01-02-2011,28,97.8
33.00678,-86.20202,01-10-2011,31,30.4
33.00678,-86.20202,01-11-2011,30,186.8
33.00678,-86.20202,01-11-2012,30,27.7
33.00678,-86.20202,01-02-2013,28,223.5
45.45,-112.1897,01-01-2000,31,0
45.45,-112.1897,01-02-2000,29,1
35.2969,-94.0361,01-10-2000,31,84.9
35.2969,-94.0361,01-11-2000,30,122
35.2969,-94.0361,01-02-2001,28,155.1
35.2969,-94.0361,01-03-2001,31,52
35.2969,-94.0361,01-04-2001,30,81.6
35.2969,-94.0361,01-06-2001,30,38.1
35.2969,-94.0361,01-07-2001,31,15.9
35.2969,-94.0361,01-08-2001,31,75.8
35.2969,-94.0361,01-10-2001,31,125.2
35.2969,-94.0361,01-11-2001,30,101.3
35.2969,-94.0361,01-01-2002,31,127.6
35.2969,-94.0361,01-03-2002,31,271.5
35.2969,-94.0361,01-06-2002,30,88.1
35.2969,-94.0361,01-10-2002,31,60.5
35.2969,-94.0361,01-11-2002,30,45
35.2969,-94.0361,01-12-2002,31,137.8
35.2969,-94.0361,01-01-2003,31,10.5
35.2969,-94.0361,01-03-2003,31,40.9
35.2969,-94.0361,01-08-2003,31,92
35.2969,-94.0361,01-09-2003,30,47.3
35.2969,-94.0361,01-10-2003,31,37.1
35.2969,-94.0361,01-11-2003,30,137.7
35.2969,-94.0361,01-12-2003,31,41.7
35.2969,-94.0361,01-01-2004,31,69.7
35.2969,-94.0361,01-02-2004,29,53
35.2969,-94.0361,01-03-2004,31,122.4
35.2969,-94.0361,01-04-2004,30,164.6
35.2969,-94.0361,01-07-2004,31,130.5
35.2969,-94.0361,01-08-2004,31,17.9
35.2969,-94.0361,01-11-2004,30,237.8
35.2969,-94.0361,01-01-2005,31,172
35.2969,-94.0361,01-07-2005,31,22.6
35.2969,-94.0361,01-08-2005,31,34.6
35.2969,-94.0361,01-11-2005,30,56.7
35.2969,-94.0361,01-12-2005,31,6.5
35.2969,-94.0361,01-01-2006,31,80
35.2969,-94.0361,01-02-2006,28,11.7
35.2969,-94.0361,01-03-2006,31,68.1
35.2969,-94.0361,01-09-2006,30,79.4
35.2969,-94.0361,01-10-2006,31,182.5
35.2969,-94.0361,01-01-2007,31,109.4
35.2969,-94.0361,01-02-2007,28,8.6
35.2969,-94.0361,01-05-2007,31,118.7
35.2969,-94.0361,01-06-2007,30,100.9
35.2969,-94.0361,01-07-2007,31,79.4
35.2969,-94.0361,01-10-2007,31,224.4
35.2969,-94.0361,01-11-2007,30,22.1
35.2969,-94.0361,01-04-2008,30,70.9
35.2969,-94.0361,01-06-2008,30,200.8
35.2969,-94.0361,01-08-2008,31,144.9
35.2969,-94.0361,01-09-2008,30,239.4
35.2969,-94.0361,01-11-2008,30,81.9
35.2969,-94.0361,01-01-2009,31,78.4
35.2969,-94.0361,01-02-2009,28,69.8
35.2969,-94.0361,01-03-2009,31,97.8
35.2969,-94.0361,01-05-2009,31,252.9
35.2969,-94.0361,01-06-2009,30,50.2
35.2969,-94.0361,01-07-2009,31,48.6
35.2969,-94.0361,01-08-2009,31,80.4
35.2969,-94.0361,01-11-2009,30,0
35.2969,-94.0361,01-01-2010,31,70.6
35.2969,-94.0361,01-02-2010,28,50.4
35.2969,-94.0361,01-03-2010,31,72.4
35.2969,-94.0361,01-04-2010,30,68.2
35.2969,-94.0361,01-05-2010,31,129.5
35.2969,-94.0361,01-06-2010,30,83.9
35.2969,-94.0361,01-09-2010,30,185.3
35.2969,-94.0361,01-01-2011,31,28.4
35.2969,-94.0361,01-03-2011,31,26.2
35.2969,-94.0361,01-04-2011,30,183.7
39.279,-77.857,01-04-2001,30,18.7
40.2464,-80.2117,01-10-2005,31,0
40.2464,-80.2117,01-11-2005,30,0
40.2464,-80.2117,01-01-2006,31,0
40.2464,-80.2117,01-02-2006,28,0
37.2616,-95.5461,01-11-2000,30,28.4
46.3165,-119.9953,01-10-2000,31,117.4
30.4578,-84.27,01-03-2000,31,73.1
40.2184,-74.1414,01-12-2000,31,79.7
40.2184,-74.1414,01-01-2001,31,55.7
39.40891,-107.22568,01-12-2005,31,21.4
39.40891,-107.22568,01-01-2006,31,25.4
39.40891,-107.22568,01-02-2006,28,1
39.40891,-107.22568,01-03-2006,31,22.2
39.40891,-107.22568,01-04-2006,30,16.8
39.40891,-107.22568,01-05-2006,31,10.2
39.40891,-107.22568,01-06-2006,30,17.2
39.40891,-107.22568,01-07-2006,31,25.2
39.40891,-107.22568,01-08-2006,31,65.6
39.40891,-107.22568,01-09-2006,30,24.6
39.40891,-107.22568,01-11-2006,30,14.8
39.40891,-107.22568,01-12-2006,31,12
39.40891,-107.22568,01-01-2007,31,10
39.40891,-107.22568,01-02-2007,28,14.4
40.5869,-105.1469,01-10-2003,31,6
40.3498,-76.1236,01-07-2016,31,20.6
40.3498,-76.1236,01-12-2016,31,20.6
40.3498,-76.1236,01-05-2017,31,74.2
40.3498,-76.1236,01-06-2017,30,94.9
40.3498,-76.1236,01-09-2017,30,89.1
40.3498,-76.1236,01-10-2017,31,57.6
40.3498,-76.1236,01-11-2017,30,33.1
40.3498,-76.1236,01-12-2017,31,14.5
40.3498,-76.1236,01-04-2018,30,74.8
40.3498,-76.1236,01-05-2018,31,75.2
40.3498,-76.1236,01-08-2018,31,221.9
40.3498,-76.1236,01-10-2018,31,44.1
40.3498,-76.1236,01-11-2018,30,142.7
40.3498,-76.1236,01-12-2018,31,70
40.3498,-76.1236,01-01-2019,31,25.5
40.3498,-76.1236,01-02-2019,28,8.1
40.3498,-76.1236,01-03-2019,31,18.3
40.3498,-76.1236,01-09-2019,30,34
40.3498,-76.1236,01-10-2019,31,95.4
40.3498,-76.1236,01-11-2019,30,59.9
40.3498,-76.1236,01-12-2019,31,55
40.3498,-76.1236,01-02-2020,29,48.1
40.3498,-76.1236,01-04-2020,30,78.3
40.3498,-76.1236,01-05-2020,31,58.7
40.3498,-76.1236,01-06-2020,30,75.2
40.3498,-76.1236,01-07-2020,31,106
34.7887,-86.7968,01-04-2004,30,127
41.75,-124.2,01-01-2000,31,470.5
41.75,-124.2,01-02-2000,29,316.7
41.75,-124.2,01-09-2000,30,84.3
41.75,-124.2,01-11-2000,30,111.4
41.75,-124.2,01-12-2000,31,69.2
41.75,-124.2,01-01-2001,31,13.5
41.75,-124.2,01-02-2001,28,126.8
41.75,-124.2,01-03-2001,31,113.7
41.75,-124.2,01-04-2001,30,118
42.19,-83.17,01-11-2013,30,16.3
42.19,-83.17,01-08-2014,31,16.1
42.19,-83.17,01-06-2017,30,5.4
42.19,-83.17,01-09-2017,30,0
42.19,-83.17,01-03-2019,31,0.2
42.19,-83.17,01-05-2020,31,0
42.19,-83.17,01-06-2020,30,0
29.0867,-97.2799,01-01-2000,31,131.5
29.0867,-97.2799,01-02-2000,29,37.1
29.0867,-97.2799,01-03-2000,31,76.6
29.0867,-97.2799,01-05-2000,31,212.3
29.0867,-97.2799,01-07-2000,31,0
29.0867,-97.2799,01-08-2000,31,12.9
29.0867,-97.2799,01-09-2000,30,40.7
29.0867,-97.2799,01-10-2000,31,191.3
29.0867,-97.2799,01-11-2000,30,175.4
29.0867,-97.2799,01-01-2001,31,78.2
29.0867,-97.2799,01-02-2001,28,10.5
29.0867,-97.2799,01-06-2001,30,40.7
29.0867,-97.2799,01-07-2001,31,12.7
29.0867,-97.2799,01-08-2001,31,223.6
29.0867,-97.2799,01-09-2001,30,110.8
29.0867,-97.2799,01-10-2001,31,113.2
29.0867,-97.2799,01-11-2001,30,65
29.0867,-97.2799,01-12-2001,31,101.5
29.0867,-97.2799,01-04-2002,30,29.6
29.0867,-97.2799,01-05-2002,31,25.1
29.0867,-97.2799,01-07-2002,31,341.8
29.0867,-97.2799,01-08-2002,31,62.8
48.6282,-112.3437,01-12-2001,31,0
48.6282,-112.3437,01-03-2004,31,0
37.392831,-77.65066,01-04-2018,30,76.3
37.392831,-77.65066,01-05-2018,31,186.3
37.392831,-77.65066,01-07-2018,31,115.1
37.392831,-77.65066,01-08-2018,31,129.7
37.392831,-77.65066,01-09-2018,30,130
37.392831,-77.65066,01-10-2018,31,152.2
37.392831,-77.65066,01-11-2018,30,148.1
37.392831,-77.65066,01-01-2019,31,72
37.392831,-77.65066,01-02-2019,28,110.7
37.392831,-77.65066,01-04-2019,30,107.4
37.392831,-77.65066,01-05-2019,31,106
37.392831,-77.65066,01-06-2019,30,98.1
37.392831,-77.65066,01-07-2019,31,68.7
37.392831,-77.65066,01-08-2019,31,41.1
37.392831,-77.65066,01-09-2019,30,7.1
37.392831,-77.65066,01-10-2019,31,79.8
37.392831,-77.65066,01-12-2019,31,79.6
37.392831,-77.65066,01-01-2020,31,92.6
37.392831,-77.65066,01-02-2020,29,105
37.392831,-77.65066,01-04-2020,30,122.8
37.392831,-77.65066,01-05-2020,31,56.2
37.392831,-77.65066,01-06-2020,30,73.7
37.392831,-77.65066,01-07-2020,31,87.3
37.392831,-77.65066,01-08-2020,31,330.2
38.8145,-77.0829,01-10-2002,31,265.6
41.6065,-93.6956,01-11-2004,30,197.2
41.6065,-93.6956,01-12-2004,31,15.9
41.6065,-93.6956,01-01-2005,31,3.5
41.6065,-93.6956,01-02-2005,28,36.8
41.6065,-93.6956,01-04-2005,30,90.5
41.6065,-93.6956,01-07-2005,31,113.9
41.6065,-93.6956,01-08-2005,31,77.3
41.6065,-93.6956,01-02-2006,28,1910.9
41.6065,-93.6956,01-11-2007,30,5216.1
41.6065,-93.6956,01-10-2008,31,94.6
41.6065,-93.6956,01-11-2008,30,54.2
41.6065,-93.6956,01-12-2008,31,46.8
41.6065,-93.6956,01-01-2009,31,27.8
41.6065,-93.6956,01-11-2009,30,3540.3
41.6065,-93.6956,01-07-2012,31,28784.6
41.6065,-93.6956,01-11-2012,30,17646.8
41.6065,-93.6956,01-05-2013,31,119542
41.6065,-93.6956,01-06-2013,30,68193.9
41.6065,-93.6956,01-07-2013,31,13903.3
41.6065,-93.6956,01-09-2013,30,32890.1
41.6065,-93.6956,01-10-2013,31,37419.8
41.6065,-93.6956,01-11-2014,30,13.1
41.6065,-93.6956,01-12-2014,31,29.6
41.6065,-93.6956,01-02-2015,28,14.6
41.6065,-93.6956,01-12-2015,31,132.3
41.6065,-93.6956,01-03-2016,31,40
41.6065,-93.6956,01-04-2016,30,78.5
41.6065,-93.6956,01-05-2016,31,68.6
41.6065,-93.6956,01-07-2016,31,186.4
41.6065,-93.6956,01-08-2016,31,170
41.6065,-93.6956,01-09-2016,30,117.8
41.6065,-93.6956,01-10-2016,31,30.9
41.6065,-93.6956,01-11-2016,30,46.2
41.6065,-93.6956,01-12-2016,31,35.5
41.6065,-93.6956,01-02-2017,28,21.2
41.6065,-93.6956,01-04-2017,30,100.8
41.6065,-93.6956,01-05-2017,31,99.7
41.6065,-93.6956,01-06-2017,30,75.1
41.6065,-93.6956,01-07-2017,31,28.6
41.6065,-93.6956,01-08-2017,31,103
41.6065,-93.6956,01-09-2017,30,65.5
41.6065,-93.6956,01-10-2017,31,132.3
41.6065,-93.6956,01-12-2017,31,1
41.6065,-93.6956,01-01-2018,31,31.1
41.6065,-93.6956,01-02-2018,28,8.3
41.6065,-93.6956,01-06-2018,30,183.4
41.6065,-93.6956,01-07-2018,31,145.2
41.6065,-93.6956,01-08-2018,31,94.6
41.6065,-93.6956,01-09-2018,30,186.7
41.6065,-93.6956,01-10-2018,31,78.1
41.6065,-93.6956,01-11-2018,30,41.2
41.6065,-93.6956,01-01-2019,31,13.8
41.6065,-93.6956,01-02-2019,28,29.5
41.6065,-93.6956,01-04-2019,30,62.6
41.6065,-93.6956,01-07-2019,31,117.6
41.6065,-93.6956,01-08-2019,31,132.3
41.6065,-93.6956,01-10-2019,31,156.5
41.6065,-93.6956,01-12-2019,31,28.3
41.6065,-93.6956,01-02-2020,29,8.3
41.6065,-93.6956,01-03-2020,31,74.7
41.6065,-93.6956,01-04-2020,30,50.9
41.6065,-93.6956,01-05-2020,31,145.5
41.6065,-93.6956,01-06-2020,30,129.2
41.6065,-93.6956,01-07-2020,31,50
41.6065,-93.6956,01-08-2020,31,45
34.7385,-82.8302,01-01-2004,31,57.8
41.30487,-72.94299,01-06-2020,30,8.1
41.30487,-72.94299,01-08-2020,31,16.1
39,-84.7,01-04-2020,30,74.9
39,-84.7,01-05-2020,31,107.4
39,-84.7,01-06-2020,30,45.9
39,-84.7,01-08-2020,31,85.3
40.3709,-77.3483,01-09-2019,30,15.7
40.3709,-77.3483,01-10-2019,31,75.1
40.3709,-77.3483,01-11-2019,30,27.4
40.3709,-77.3483,01-12-2019,31,44.8
40.3709,-77.3483,01-01-2020,31,42
40.3709,-77.3483,01-02-2020,29,43
40.3709,-77.3483,01-04-2020,30,119.7
40.3709,-77.3483,01-05-2020,31,61.7
40.3709,-77.3483,01-06-2020,30,40.7
40.3709,-77.3483,01-08-2020,31,56.9
35.40798,-78.73628,01-09-2019,30,12.2
35.40798,-78.73628,01-10-2019,31,20.3
35.40798,-78.73628,01-11-2019,30,17.3
35.40798,-78.73628,01-12-2019,31,24
35.40798,-78.73628,01-02-2020,29,31.3
35.40798,-78.73628,01-04-2020,30,20.8
35.40798,-78.73628,01-05-2020,31,7.9
35.40798,-78.73628,01-06-2020,30,7.8
40.5,-79.9,01-08-2020,31,69.7
37.7136,-113.0629,01-09-2019,30,5.2
37.7136,-113.0629,01-10-2019,31,1.3
37.7136,-113.0629,01-11-2019,30,43.2
37.7136,-113.0629,01-12-2019,31,19.3
37.7136,-113.0629,01-02-2020,29,8.7
37.7136,-113.0629,01-04-2020,30,15.2
37.7136,-113.0629,01-05-2020,31,5.7
36.1,-115.2,01-12-2019,31,17.7
36.1,-115.2,01-02-2020,29,4
36.1,-115.2,01-04-2020,30,5.3
36.1,-115.2,01-05-2020,31,0
36.1,-115.2,01-06-2020,30,0
36.1,-115.2,01-08-2020,31,0
41.5,-87.7,01-04-2020,30,91.9
41.5,-87.7,01-05-2020,31,127.2
41.5,-87.7,01-06-2020,30,99.4
34.4,-118.6,01-02-2020,29,2.7
34.4,-118.6,01-04-2020,30,48.1
34.4,-118.6,01-05-2020,31,0
38.1343,-90.56903,01-09-2019,30,7.1
38.1343,-90.56903,01-10-2019,31,19.3
38.1343,-90.56903,01-11-2019,30,20.8
38.1343,-90.56903,01-12-2019,31,9.4
38.1343,-90.56903,01-01-2020,31,20.8
38.1343,-90.56903,01-02-2020,29,40.1
38.1343,-90.56903,01-04-2020,30,28.8
38.1343,-90.56903,01-05-2020,31,36.6
42.90861,-72.06333,01-08-2020,31,40.3
40.29667,-76.94082,01-08-2020,31,88.5
41.8022,-72.2449,01-09-2019,30,48
41.8022,-72.2449,01-10-2019,31,112.2
41.18638,-73.2488,01-12-2019,31,83.6
41.18638,-73.2488,01-02-2020,29,47.1
37.7789,-90.43893,01-09-2019,30,6.1
37.7789,-90.43893,01-10-2019,31,43.3
37.7789,-90.43893,01-11-2019,30,21.8
37.7789,-90.43893,01-12-2019,31,9.3
37.7789,-90.43893,01-02-2020,29,18.9
37.7789,-90.43893,01-04-2020,30,16.8
37.7789,-90.43893,01-05-2020,31,26.9
42.78683,-83.73247,01-11-2019,30,8.7
42.78683,-83.73247,01-12-2019,31,10.4
42.78683,-83.73247,01-01-2020,31,18.2
42.78683,-83.73247,01-02-2020,29,2.2
42.78683,-83.73247,01-04-2020,30,7.3
42.78683,-83.73247,01-05-2020,31,27.3
42.78683,-83.73247,01-06-2020,30,10.5
42.78683,-83.73247,01-08-2020,31,15.3
34.76146,-82.23693,01-09-2019,30,0
34.76146,-82.23693,01-01-2020,31,95.2
34.76146,-82.23693,01-02-2020,29,168.3
34.76146,-82.23693,01-08-2020,31,58.2
42.2,-78,01-10-2019,31,52.6
42.2,-78,01-11-2019,30,26.9
42.2,-78,01-12-2019,31,36.8
42.2,-78,01-02-2020,29,48
42.2,-78,01-04-2020,30,41.5
42.2,-78,01-05-2020,31,56.1
42.2,-78,01-06-2020,30,43.9
32.3,-97.2,01-11-2019,30,4.4
32.3,-97.2,01-12-2019,31,5.6
32.3,-97.2,01-02-2020,29,18.2
32.3,-97.2,01-05-2020,31,1.2
32.3,-97.2,01-06-2020,30,0.2
32.3,-97.2,01-08-2020,31,0
40.7992,-111.9263,01-09-2019,30,37.1
40.7992,-111.9263,01-10-2019,31,12.4
40.7992,-111.9263,01-12-2019,31,42.9
40.7992,-111.9263,01-01-2020,31,30.1
40.7992,-111.9263,01-02-2020,29,11.6
40.7992,-111.9263,01-04-2020,30,6.8
40.7992,-111.9263,01-06-2020,30,43.7
40.7992,-111.9263,01-08-2020,31,2.5
32.2,-80.7,01-09-2019,30,28.6
32.2,-80.7,01-10-2019,31,26.4
32.2,-80.7,01-11-2019,30,14.5
32.2,-80.7,01-12-2019,31,48.8
32.2,-80.7,01-01-2020,31,7.5
32.2,-80.7,01-02-2020,29,35.2
32.2,-80.7,01-04-2020,30,48
32.2,-80.7,01-05-2020,31,10.2
32.2,-80.7,01-06-2020,30,26.1
41.92614,-73.06749,01-09-2019,30,39.6
41.92614,-73.06749,01-10-2019,31,108
41.92614,-73.06749,01-11-2019,30,57.2
41.92614,-73.06749,01-12-2019,31,85.7
41.92614,-73.06749,01-01-2020,31,37.3
41.92614,-73.06749,01-02-2020,29,46
