,gbifID,scientificName,decimalLatitude,decimalLongitude,day,month,year,rain,temp,soil_temp,optical_thickness,transmission_percent
145,2859905250,"Canis latrans Say, 1823",37.893505,-122.623117,27,12,2019,54.5,10.8,0.5,0.035482434,96.51396879
149,2859894989,"Canis latrans Say, 1823",41.67165,-70.062223,22,6,2020,41.2,21.5,24.1,0.466126891,62.74276641
150,2856867455,"Canis latrans Say, 1823",44.899325,-110.443855,3,8,2019,5.6,20.2,20.2,0.106743575,89.87561072
152,2856863526,"Canis latrans Say, 1823",41.818053000000006,-88.05721700000001,4,12,2015,132.3,4.3,2.5,0.0391,96.16545389
155,2856794324,"Canis latrans Say, 1823",26.695549,-80.49727800000001,12,8,2016,278.4,29.2,24.2,0.4526,63.59724717
156,2856776573,"Canis latrans Say, 1823",42.275469,-72.500212,19,4,2020,71.9,6.6,13.5,0.075432311,92.73424993
157,2856773340,"Canis latrans Say, 1823",41.791911999999996,-87.88037800000001,19,5,2020,149.8,15.6,17.8,0.10398015699999999,90.12431805
159,2856769398,"Canis latrans Say, 1823",47.373670000000004,-122.570342,22,5,2020,21.6,15.4,12.6,0.07383377099999999,92.88260784
160,2856767975,"Canis latrans Say, 1823",44.943739,-93.44169699999999,16,1,2020,16.6,-9.7,6.5,0.102035537,90.29974614
161,2856767337,"Canis latrans Say, 1823",42.294745,-71.141047,31,12,2019,87.9,0.1,6.0,0.061941956,93.99374433
162,2856766281,"Canis latrans Say, 1823",46.642987,-119.42903999999999,11,9,2016,117.8,15.9,13.8,0.935,39.25858655
163,2856765333,"Canis latrans Say, 1823",34.904599,-120.300348,29,12,2019,152.4,13.2,0.5,0.035482434,96.51396879
165,2856762751,"Canis latrans Say, 1823",37.338857,-121.66453500000001,13,9,2013,33.0,19.3,21.0,0.1954,82.250559
169,2856758353,"Canis latrans Say, 1823",32.317172,-109.46390500000001,4,1,2020,5.4,9.2,6.5,0.028518097000000003,97.18847058
179,2856737664,"Canis latrans Say, 1823",37.7232,-121.74914299999999,13,4,2020,23.0,17.0,15.1,0.09774301099999999,90.68819325
182,2856729136,"Canis latrans Say, 1823",40.412051,-105.73451100000001,24,9,2019,24.1,20.5,27.1,0.159987105,85.21547775
183,2856703408,"Canis latrans Say, 1823",41.518781,-71.48254,2,2,2019,67.4,1.3,4.2,0.065118381,93.69565393
184,2856702332,"Canis latrans Say, 1823",29.428787,-95.13775799999999,20,6,2019,100.9,27.5,24.5,0.136693037,87.223793
187,2856697550,"Canis latrans Say, 1823",42.238222,-72.469752,13,4,2020,71.9,6.6,13.5,0.075432311,92.73424993
192,2856693440,"Canis latrans Say, 1823",47.373670000000004,-122.570342,22,5,2020,21.6,15.4,12.6,0.07383377099999999,92.88260784
194,2856687319,"Canis latrans Say, 1823",34.151975,-118.06990800000001,23,11,2019,43.2,17.4,2.7,0.145990221,86.41661537
196,2856672406,"Canis latrans Say, 1823",41.84853,-88.070892,13,7,2020,134.0,25.6,27.0,0.122710005,88.45201318
197,2856669718,"Canis latrans Say, 1823",34.111303,-118.306228,8,4,2020,48.1,17.4,15.1,0.09774301099999999,90.68819325
199,2856661904,"Canis latrans Say, 1823",39.824487,-104.86565700000001,24,8,2016,170.0,24.1,26.7,0.065,93.70674634
207,2856637817,"Canis latrans Say, 1823",40.261646999999996,-121.338822,30,4,2016,0.2,13.9,9.7,0.071672457,93.08357347
210,2856628685,"Canis latrans Say, 1823",34.627649,-118.027697,5,11,2019,43.2,17.4,2.7,0.145990221,86.41661537
213,2856625391,"Canis latrans Say, 1823",35.88333,-106.30367199999999,13,6,2020,6.5,28.4,24.1,0.212363028,80.86710743
216,2856620637,"Canis latrans Say, 1823",35.576687,-78.844567,18,5,2020,7.9,19.9,17.8,0.20832979199999999,81.19392212
221,2856573229,"Canis latrans Say, 1823",30.574334000000004,-97.907333,30,10,2019,206.6,22.3,17.1,0.2322,79.27875499
222,2856567352,"Canis latrans Say, 1823",45.241288,-93.70979200000001,3,7,2019,78.1,23.0,27.5,0.20428504,81.52299648
223,2856566051,"Canis latrans Say, 1823",38.065796,-122.928831,30,12,2019,54.5,10.8,0.5,0.035482434,96.51396879
224,2856564694,"Canis latrans Say, 1823",34.111378,-118.272658,13,5,2020,0.0,21.3,12.6,0.082793706,92.05410301
225,2856558366,"Canis latrans Say, 1823",33.210287,-106.057055,5,1,2020,5.4,9.2,6.5,0.028518097000000003,97.18847058
229,2856548386,"Canis latrans Say, 1823",44.977456,-68.512282,7,5,2020,30.4,13.7,17.8,0.075538702,92.72438432
235,2856529169,"Canis latrans Say, 1823",35.055772,-119.603471,11,7,2020,0.0,24.8,19.0,0.077270456,92.56394745
240,2856507351,"Canis latrans Say, 1823",31.650121999999996,-95.771523,31,10,2019,206.6,17.9,17.1,0.1598,85.23142348
242,2856504335,"Canis latrans Say, 1823",42.179895,-70.80133199999999,6,7,2019,92.2,26.3,23.5,0.20428504,81.52299648
248,2856491179,"Canis latrans Say, 1823",34.177374,-118.07532900000001,10,10,2018,27.1,21.1,7.2,0.144582756,86.53832935
249,2856488141,"Canis latrans Say, 1823",41.044121999999994,-122.871298,8,7,2020,2.3,24.1,19.0,0.077270456,92.56394745
252,2856481355,"Canis latrans Say, 1823",34.305377,-98.917405,4,4,2020,40.0,17.6,15.1,0.094700984,90.96448924
254,2856474859,"Canis latrans Say, 1823",39.86252,-105.10720800000001,9,4,2018,21.6,10.4,6.2,0.142150011,86.74911136
256,2851305559,"Canis latrans Say, 1823",44.891842,-110.232601,15,7,2004,154.8,22.6,22.5,0.1116,89.44019467
258,2851291859,"Canis latrans Say, 1823",44.427968,-110.588454,5,6,2019,42.8,16.6,16.6,0.053800142,94.76214775
263,2851266831,"Canis latrans Say, 1823",31.540716999999997,-87.791108,21,6,2020,125.2,22.4,24.1,0.212363028,80.86710743
264,2851266553,"Canis latrans Say, 1823",26.732501,-81.90888199999999,8,8,2006,28.9,30.7,29.6,0.2699,76.34558361
268,2851245882,"Canis latrans Say, 1823",39.755463,-105.101808,17,2,2012,44.4,4.1,4.4,0.1037,90.14957056
277,2851206572,"Canis latrans Say, 1823",43.080278,-89.47939000000001,26,7,2020,134.0,25.6,27.0,0.122710005,88.45201318
284,2851180365,"Canis latrans Say, 1823",33.236308,-111.77171100000001,25,7,2020,0.0,34.9,19.0,0.077270456,92.56394745
285,2851169915,"Canis latrans Say, 1823",39.640147,-105.46198600000001,18,6,2020,21.8,22.6,16.9,0.212363028,80.86710743
287,2851164563,"Canis latrans Say, 1823",43.068518,-89.48868900000001,27,7,2020,134.0,25.6,27.0,0.122710005,88.45201318
291,2851153398,"Canis latrans Say, 1823",37.894926,-122.636973,31,7,2020,0.0,24.1,19.0,0.077270456,92.56394745
296,2851128575,"Canis latrans Say, 1823",43.058753,-89.489533,18,7,2020,134.0,25.6,27.0,0.122710005,88.45201318
298,2851125609,"Canis latrans Say, 1823",26.218028000000004,-97.378878,14,3,2019,76.2,12.9,9.0,0.09152920099999999,91.2534669
305,2851106694,"Canis latrans Say, 1823",42.053906,-70.646103,10,7,2020,28.8,26.0,27.0,0.122710005,88.45201318
309,2851101454,"Canis latrans Say, 1823",25.639192,-80.292817,23,7,2020,36.5,28.4,27.0,0.122710005,88.45201318
319,2851079907,"Canis latrans Say, 1823",37.767592,-122.499486,6,9,2016,117.8,17.2,13.8,0.935,39.25858655
321,2851065260,"Canis latrans Say, 1823",40.554093,-81.909826,9,2,2013,12.2,-2.7,10.7,0.1275,88.02934158
322,2851063989,"Canis latrans Say, 1823",44.888078,-110.141411,30,7,2014,12.1,20.4,25.4,0.1545,85.68434921
324,2851060483,"Canis latrans Say, 1823",39.187027,-122.046314,24,1,2016,101.7,7.0,-0.9,-0.2627,101.0
325,2851059913,"Canis latrans Say, 1823",42.542012,-71.31692199999999,7,2,2017,25.0,6.3,6.8,0.1021,90.29392532
326,2851059359,"Canis latrans Say, 1823",37.324535,-122.207668,3,9,2018,0.0,21.7,21.8,0.054988376,94.64961504
327,2851055955,"Canis latrans Say, 1823",39.334946,-121.822253,4,6,2018,0.5,13.9,17.0,0.266521143,76.60398070000001
334,2851042532,"Canis latrans Say, 1823",45.157647,-93.41314799999999,22,5,2020,22.9,12.0,17.8,0.10398015699999999,90.12431805
338,2851024904,"Canis latrans Say, 1823",40.404575,-105.618788,30,7,2020,19.0,25.1,19.0,0.09813067,90.65304401
340,2851018727,"Canis latrans Say, 1823",30.568167,-97.69003599999999,7,7,2020,260.3,30.0,30.7,0.09813067,90.65304401
341,2851001896,"Canis latrans Say, 1823",42.642438,-73.855896,11,5,2020,27.6,15.1,17.8,0.075538702,92.72438432
342,2851000333,"Canis latrans Say, 1823",26.428033000000003,-97.78479200000001,24,4,2018,19.6,15.9,10.4,0.1313,87.69546485
343,2850999436,"Canis latrans Say, 1823",42.292233,-71.630486,16,10,2019,20.7,11.8,16.9,0.055949059,94.55873042
344,2850986828,"Canis latrans Say, 1823",41.930288,-72.08109300000001,25,7,2020,33.4,24.4,27.0,0.122710005,88.45201318
345,2850979789,"Canis latrans Say, 1823",35.606429999999996,-83.81263,21,7,2020,36.5,25.1,27.0,0.122710005,88.45201318
347,2850969010,"Canis latrans Say, 1823",37.766498999999996,-122.44186100000002,28,7,2020,0.0,24.1,19.0,0.077270456,92.56394745
348,2850966676,"Canis latrans Say, 1823",47.373670000000004,-122.570342,22,5,2020,21.6,15.4,12.6,0.07383377099999999,92.88260784
349,2850966089,"Canis latrans Say, 1823",38.183834000000004,-77.52330500000001,27,6,2020,119.6,23.1,24.1,0.466126891,62.74276641
356,2850954134,"Canis latrans Say, 1823",34.23652,-118.765495,19,7,2020,0.0,24.8,19.0,0.077270456,92.56394745
357,2850953469,"Canis latrans Say, 1823",38.913453999999994,-77.31700699999999,8,12,2019,55.9,3.6,6.0,0.061941956,93.99374433
358,2850952448,"Canis latrans Say, 1823",38.852375,-90.447372,16,11,2019,20.8,5.5,7.6,0.072780267,92.98051165
360,2850948710,"Canis latrans Say, 1823",31.100317999999998,-96.980559,5,7,2020,260.3,30.0,30.7,0.09813067,90.65304401
361,2850943665,"Canis latrans Say, 1823",37.306787,-81.314172,1,7,2020,36.5,25.9,27.0,0.122710005,88.45201318
371,2850902029,"Canis latrans Say, 1823",47.072769,-122.71272900000001,26,10,2018,23.1,14.1,7.2,0.05736599,94.42484205
378,2850853327,"Canis latrans Say, 1823",40.455764,-120.986171,9,2,2015,31.5,8.7,1.1,1.4619,23.17954447
381,2850844120,"Canis latrans Say, 1823",30.524359999999998,-104.003804,4,6,2019,42.8,26.2,24.5,0.136693037,87.223793
383,2850837708,"Canis latrans Say, 1823",36.384788,-84.200212,28,1,2020,135.3,7.8,6.1,0.102035537,90.29974614
386,2850811590,"Canis latrans Say, 1823",42.22773,-71.154433,18,7,2020,28.8,26.0,27.0,0.122710005,88.45201318
389,2850780086,"Canis latrans Say, 1823",38.120377000000005,-122.94296200000001,25,7,2020,0.0,24.1,19.0,0.077270456,92.56394745
396,2850760557,"Canis latrans Say, 1823",44.919971000000004,-110.412798,23,8,2016,170.0,20.1,26.7,0.065,93.70674634
397,2850758000,"Canis latrans Say, 1823",43.904722,-110.59635800000001,31,7,2014,12.1,21.8,25.4,0.1545,85.68434921
401,2850744921,"Canis latrans Say, 1823",40.014986,-105.270546,26,7,2020,19.0,25.1,19.0,0.09813067,90.65304401
402,2850738060,"Canis latrans Say, 1823",44.875289,-110.20564399999999,2,9,2018,22.6,19.6,21.8,0.070307175,93.21074562
409,2850724401,"Canis latrans Say, 1823",37.794571999999995,-122.457002,31,7,2020,0.0,24.1,19.0,0.077270456,92.56394745
416,2850715130,"Canis latrans Say, 1823",35.528402,-105.95225,20,7,2020,19.0,31.1,30.7,0.09813067,90.65304401
420,2850692893,"Canis latrans Say, 1823",42.258431,-87.96597,14,2,2019,46.5,-3.0,7.3,0.056619919000000005,94.49531601
433,2850653169,"Canis latrans Say, 1823",40.441088,-105.75416100000001,23,7,2020,19.0,25.1,19.0,0.09813067,90.65304401
435,2850644335,"Canis latrans Say, 1823",33.897771,-117.585174,14,7,2019,0.0,24.9,27.5,0.119081431,88.77355089
442,2850629675,"Canis latrans Say, 1823",32.101008,-111.00161399999999,9,1,2020,5.4,10.3,6.5,0.028518097000000003,97.18847058
444,2850624655,"Canis latrans Say, 1823",44.504663,-73.261546,27,6,2020,10.0,17.7,24.1,0.466126891,62.74276641
445,2850618031,"Canis latrans Say, 1823",40.402219,-105.615903,21,7,2020,19.0,25.1,19.0,0.09813067,90.65304401
446,2850613954,"Canis latrans Say, 1823",37.743515,-122.413142,31,7,2020,0.0,24.1,19.0,0.077270456,92.56394745
447,2850612744,"Canis latrans Say, 1823",30.466452,-97.64222600000001,8,7,2020,260.3,30.0,30.7,0.09813067,90.65304401
449,2850605246,"Canis latrans Say, 1823",39.583725,-120.34761200000001,27,5,2018,5.3,13.4,15.2,0.064584809,93.74566061
450,2850604532,"Canis latrans Say, 1823",42.108246,-78.381999,5,5,2020,56.1,16.0,17.8,0.20832979199999999,81.19392212
451,2850602461,"Canis latrans Say, 1823",45.062458,-93.38431700000001,29,11,2019,6.1,-4.3,7.6,0.213278799,80.79308553
452,2850599359,"Canis latrans Say, 1823",32.314152,-91.35967,24,11,2018,65.1,11.0,9.6,0.0277,97.26801271
454,2850596385,"Canis latrans Say, 1823",43.752423,-118.423426,10,6,2019,20.5,17.8,16.6,0.070019758,93.23753979
455,2850594459,"Canis latrans Say, 1823",35.167059,-106.31979199999999,24,12,2019,0.0,9.5,7.5,1.7771157309999999,16.91252472
456,2850594095,"Canis latrans Say, 1823",35.32209,-119.20981499999999,27,7,2020,0.0,24.8,19.0,0.077270456,92.56394745
458,2850580678,"Canis latrans Say, 1823",35.839134,-86.535563,28,6,2020,125.2,22.4,24.1,0.466126891,62.74276641
459,2850579467,"Canis latrans Say, 1823",33.277778999999995,-87.621963,13,1,2020,135.3,7.8,6.5,0.290730803,74.77169343
462,2850562137,"Canis latrans Say, 1823",31.766882,-111.03411799999999,25,7,2020,0.0,34.9,30.7,0.077270456,92.56394745
463,2850557870,"Canis latrans Say, 1823",45.560203,-122.853372,31,7,2020,2.3,22.3,19.0,0.077270456,92.56394745
464,2850549881,"Canis latrans Say, 1823",45.582313,-122.858805,31,7,2020,2.3,22.3,19.0,0.077270456,92.56394745
465,2850548912,"Canis latrans Say, 1823",36.357281,-85.33842800000001,29,7,2020,134.0,25.1,27.0,0.122710005,88.45201318
466,2850547608,"Canis latrans Say, 1823",47.027519,-120.74290400000001,24,3,2019,84.5,10.7,13.3,0.115508996,89.09125572
467,2850545900,"Canis latrans Say, 1823",36.31877,-85.290399,28,7,2020,134.0,25.1,27.0,0.122710005,88.45201318
469,2850541488,"Canis latrans Say, 1823",37.809089,-122.209061,31,3,2020,34.6,12.8,12.7,0.445033512,64.08028011
470,2850538767,"Canis latrans Say, 1823",45.561820000000004,-122.826074,22,7,2020,2.3,22.3,19.0,0.077270456,92.56394745
471,2850526776,"Canis latrans Say, 1823",34.182614,-118.098615,22,7,2020,0.0,24.4,19.0,0.077270456,92.56394745
472,2850526495,"Canis latrans Say, 1823",42.457164,-83.243922,12,4,2020,68.5,7.7,13.5,0.158196756,85.36817987
473,2845331134,"Canis latrans Say, 1823",39.05509,-108.74498799999999,4,7,2019,47.9,23.9,27.5,0.119081431,88.77355089
474,2845170147,"Canis latrans Say, 1823",36.045963,-112.117617,23,8,2019,0.0,23.5,20.2,0.205045731,81.46100625
475,2844636769,"Canis latrans Say, 1823",44.683509,-110.493825,17,8,2019,5.6,20.2,20.2,0.106743575,89.87561072
476,2844341284,"Canis latrans Say, 1823",44.911695,-110.332544,1,7,2018,33.9,23.5,22.8,0.22358882,79.96438645
478,2843369700,"Canis latrans Say, 1823",44.759488,-110.475128,17,8,2019,5.6,20.2,20.2,0.106743575,89.87561072
480,2842947850,"Canis latrans Say, 1823",44.758743,-110.47577700000001,17,8,2019,5.6,20.2,20.2,0.106743575,89.87561072
481,2842875086,"Canis latrans Say, 1823",44.947556,-110.310722,14,9,2019,37.1,19.9,27.1,0.160055485,85.20965091
482,2842861727,"Canis latrans Say, 1823",35.989359,-112.13596299999999,1,8,2019,0.0,23.5,20.2,0.205045731,81.46100625
483,2842806492,"Canis latrans Say, 1823",34.128797999999996,-118.19976100000001,5,8,2019,0.0,25.9,20.2,0.205045731,81.46100625
484,2842750189,"Canis latrans Say, 1823",32.248104,-111.244522,17,11,2019,43.2,14.8,9.4,0.550813779,57.64804920000001
485,2842330708,"Canis latrans Say, 1823",44.888283,-110.23143700000001,30,8,2016,170.0,20.1,26.7,0.065,93.70674634
486,2842233296,"Canis latrans Say, 1823",36.3414,-117.3953,25,3,2017,57.6,8.9,10.6,0.102305817,90.27534324
490,2841872740,"Canis latrans Say, 1823",37.873554999999996,-119.38065900000001,26,9,2016,117.8,17.2,13.8,0.935,39.25858655
491,2841588999,"Canis latrans Say, 1823",43.546211,-110.73270600000001,4,6,2016,134.4,18.3,17.3,0.253424582,77.61382776
493,2841000205,"Canis latrans Say, 1823",43.717123,-110.70831299999999,5,6,2014,9.9,16.3,23.7,0.3443,70.87162813
496,2840453054,"Canis latrans Say, 1823",44.617726,-110.555047,19,7,2006,25.2,23.8,22.5,0.1726,84.14741372
498,2840320107,"Canis latrans Say, 1823",36.462305,-116.874356,22,6,2016,134.4,17.1,17.3,0.253424582,77.61382776
501,2840240241,"Canis latrans Say, 1823",37.55692,-99.13412,24,4,2018,19.6,15.2,6.2,0.1313,87.69546485
502,2840236504,"Canis latrans Say, 1823",35.866206,-120.83865300000001,25,2,2017,21.2,-2.4,0.0,0.136217774,87.26525706
506,2840064872,"Canis latrans Say, 1823",43.546211,-110.73270600000001,4,6,2016,134.4,18.3,17.3,0.253424582,77.61382776
507,2839972500,"Canis latrans Say, 1823",35.877828,-118.894326,3,3,2017,57.6,8.9,10.6,0.102305817,90.27534324
508,2839961768,"Canis latrans Say, 1823",36.338876,-117.440643,5,10,2016,13.4,22.3,23.6,0.13325168199999998,87.52447809
511,2839604919,"Canis latrans Say, 1823",44.919427,-110.30205500000001,8,6,2016,134.4,18.3,17.3,0.253424582,77.61382776
516,2838958390,"Canis latrans Say, 1823",35.449360999999996,-120.93361499999999,27,11,2013,21.5,8.8,13.2,-0.3265,101.0
517,2838909319,"Canis latrans Say, 1823",37.633831,-121.19298,11,1,2013,16.3,5.5,7.6,1.2811,27.77316276
519,2838813783,"Canis latrans Say, 1823",36.047295,-112.08984199999999,19,9,2008,130.0,20.5,24.5,0.1742,84.01288551
520,2838810513,"Canis latrans Say, 1823",37.719815000000004,-119.57396200000001,5,5,2013,119542.0,14.3,18.6,0.0826,92.07193613
521,2838579221,"Canis latrans Say, 1823",44.882313,-110.241343,14,9,2019,37.1,19.9,27.1,0.160055485,85.20965091
522,2838579220,"Canis latrans Say, 1823",44.550632,-110.80856299999999,14,9,2019,37.1,19.9,27.1,0.160055485,85.20965091
523,2838216141,"Canis latrans Say, 1823",44.908081,-110.25235,12,9,2019,37.1,19.9,27.1,0.160055485,85.20965091
524,2837403136,"Canis latrans Say, 1823",44.907425,-110.251305,12,9,2019,37.1,19.9,27.1,0.160055485,85.20965091
525,2837292327,"Canis latrans Say, 1823",44.914555,-110.267494,13,9,2019,37.1,19.9,27.1,0.160055485,85.20965091
526,2836975479,"Canis latrans Say, 1823",39.533608,-118.500675,30,4,2018,1.0,12.7,6.2,1.145116382,31.81868846
527,2836958133,"Canis latrans Say, 1823",37.556999999999995,-99.1292,24,4,2018,19.6,15.2,6.2,0.1313,87.69546485
528,2836916310,"Canis latrans Say, 1823",36.463509,-116.865517,26,11,2018,58.6,17.6,2.7,0.45958034700000006,63.15486213
530,2836309561,"Canis latrans Say, 1823",36.3388,-117.4345,18,11,2017,2.5,19.1,2.8,0.025823900000000004,97.45066848
531,2836204025,"Canis latrans Say, 1823",36.491939,-118.33554299999999,1,6,2018,0.3,21.8,17.0,0.266521143,76.60398070000001
532,2836191281,"Canis latrans Say, 1823",36.46368,-116.87895400000001,1,3,2017,57.6,8.9,10.6,0.102305817,90.27534324
534,2836076194,"Canis latrans Say, 1823",34.180988,-118.136824,20,1,2017,25.2,12.1,5.1,0.3495,70.50405219
537,2835845326,"Canis latrans Say, 1823",38.034177,-122.995602,8,6,2014,9.9,16.3,23.7,0.3443,70.87162813
538,2835768082,"Canis latrans Say, 1823",44.617726,-110.555047,17,10,2007,224.4,10.0,15.6,0.0547,94.67691361
540,2835697901,"Canis latrans Say, 1823",38.137797,-122.91641200000001,9,4,2015,12.0,12.6,11.8,-0.5031,101.0
545,2835283484,"Canis latrans Say, 1823",32.307666999999995,-111.21829199999999,9,3,2020,123.7,14.8,12.7,0.153845794,85.74042274
546,2834720287,"Canis latrans Say, 1823",44.883568,-110.239942,12,9,2019,37.1,19.9,27.1,0.160055485,85.20965091
547,2834530589,"Canis latrans Say, 1823",34.123149,-118.298348,10,9,2019,2.3,24.4,27.1,2.790197412,6.140908985
548,2834259947,"Canis latrans Say, 1823",44.914032,-110.32482900000001,13,9,2019,37.1,19.9,27.1,0.160055485,85.20965091
550,2833130127,"Canis latrans Say, 1823",40.68312,-104.345621,22,4,2018,21.6,10.4,6.2,0.142150011,86.74911136
551,2832913077,"Canis latrans Say, 1823",36.3399,-117.4672,6,9,2017,3.5,23.8,15.7,0.3847,68.0654802
553,2832739954,"Canis latrans Say, 1823",44.919427,-110.30205500000001,8,6,2016,134.4,18.3,17.3,0.253424582,77.61382776
555,2832665929,"Canis latrans Say, 1823",37.703516,-120.399102,10,10,2015,36.6,23.4,19.6,0.0144,98.57031841
556,2832662120,"Canis latrans Say, 1823",44.95,-110.61,23,4,2011,211.6,5.9,5.3,0.3593,69.81648705
557,2832539920,"Canis latrans Say, 1823",38.018142,-122.986193,10,4,2015,12.0,12.6,11.8,-0.5031,101.0
560,2832367217,"Canis latrans Say, 1823",37.892511,-122.557032,23,11,2013,21.5,8.8,13.2,-0.3265,101.0
561,2832356351,"Canis latrans Say, 1823",37.646859,-121.19018600000001,11,1,2013,16.3,5.5,7.6,1.2811,27.77316276
562,2832290153,"Canis latrans Say, 1823",37.340027,-120.22386100000001,28,5,2012,2072.8,12.6,18.3,0.3839,68.11995437
563,2831375052,"Canis latrans Say, 1823",41.162778,-81.562283,29,10,2011,128.6,12.0,13.6,0.1162,89.02971461
564,2831375014,"Canis latrans Say, 1823",41.274167,-81.570425,25,10,2011,128.6,12.0,13.6,0.1162,89.02971461
565,2831375012,"Canis latrans Say, 1823",41.274167,-81.603229,29,10,2011,128.6,12.0,13.6,0.1162,89.02971461
566,2831370049,"Canis latrans Say, 1823",41.099444,-81.8852,2,3,2017,41.9,5.8,8.0,0.140797333,86.86653436
568,2826539953,"Canis latrans Say, 1823",36.442312,-118.18250800000001,30,7,2020,0.0,24.8,19.0,0.077270456,92.56394745
569,2826528916,"Canis latrans Say, 1823",30.229991,-97.845771,30,7,2020,260.3,30.0,30.7,0.09813067,90.65304401
570,2826525931,"Canis latrans Say, 1823",37.860938,-121.94173300000001,31,7,2020,0.0,24.1,19.0,0.077270456,92.56394745
571,2826523571,"Canis latrans Say, 1823",43.007228000000005,-120.01191999999999,25,7,2020,2.3,23.8,19.0,0.077270456,92.56394745
572,2826515579,"Canis latrans Say, 1823",41.964289,-87.63210500000001,14,4,2017,100.8,12.8,14.9,0.302773902,73.87661111
574,2826512340,"Canis latrans Say, 1823",33.86795,-83.69114300000001,27,6,2020,125.2,22.4,24.1,0.466126891,62.74276641
575,2826505058,"Canis latrans Say, 1823",41.372138,-70.75336800000001,23,7,2020,32.6,25.6,27.0,0.122710005,88.45201318
577,2826502541,"Canis latrans Say, 1823",33.630731,-117.882084,28,7,2020,0.0,19.1,19.0,0.077270456,92.56394745
578,2826498305,"Canis latrans Say, 1823",35.057133,-106.555008,26,7,2020,19.0,31.1,30.7,0.09813067,90.65304401
579,2826497324,"Canis latrans Say, 1823",41.0917,-112.167505,24,7,2020,19.0,26.3,19.0,0.077270456,92.56394745
580,2826491822,"Canis latrans Say, 1823",41.997778000000004,-70.7125,3,5,2018,48.6,19.4,20.3,0.18624702699999998,83.00685201
581,2826488635,"Canis latrans Say, 1823",43.69623,-103.46464,28,7,2020,19.0,21.8,19.0,0.122710005,88.45201318
582,2826487864,"Canis latrans Say, 1823",32.996778000000006,-96.788467,30,7,2020,260.3,29.5,30.7,0.09813067,90.65304401
583,2826486319,"Canis latrans Say, 1823",45.544162,-122.565715,27,4,2020,22.8,13.8,15.1,0.057493015,94.41284855
584,2826479951,"Canis latrans Say, 1823",34.142233000000004,-118.05351499999999,31,7,2020,0.0,24.4,19.0,0.077270456,92.56394745
